               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.037885,            0.095444,                   0,             0.99249,             0.98814,             0.99475,             0.73703,            0.036014,            0.095584,                   0,          0.00083566,          0.00083566,          0.00083566
                  85,            0.037999,            0.093898,                   0,             0.99125,             0.98617,              0.9948,              0.7242,            0.036932,             0.09462,                   0,          0.00083368,          0.00083368,          0.00083368
                  86,            0.038388,            0.096434,                   0,               0.996,             0.98343,             0.99468,             0.73662,             0.03631,            0.098191,                   0,           0.0008317,           0.0008317,           0.0008317
                  87,            0.039313,             0.10126,                   0,             0.99477,             0.97826,             0.99299,              0.7417,            0.035565,            0.092146,                   0,          0.00082972,          0.00082972,          0.00082972
                  88,            0.039702,            0.098642,                   0,             0.99238,             0.98518,             0.99347,             0.73576,            0.036466,            0.089743,                   0,          0.00082774,          0.00082774,          0.00082774
                  89,            0.039132,            0.097396,                   0,             0.99651,             0.98518,             0.99491,             0.69652,            0.038575,             0.10288,                   0,          0.00082576,          0.00082576,          0.00082576
                  90,            0.040278,             0.10134,                   0,             0.99501,             0.98471,             0.99485,             0.72886,            0.036946,            0.093606,                   0,          0.00082378,          0.00082378,          0.00082378
                  91,             0.03943,             0.10079,                   0,             0.99533,             0.98024,             0.99332,             0.74805,            0.035886,            0.090923,                   0,           0.0008218,           0.0008218,           0.0008218
                  92,            0.039957,             0.10004,                   0,             0.99395,             0.98715,             0.99469,             0.72468,            0.037853,             0.10191,                   0,          0.00081982,          0.00081982,          0.00081982
                  93,            0.038477,            0.099937,                   0,             0.99335,              0.9832,             0.99256,             0.72812,            0.036834,            0.099001,                   0,          0.00081784,          0.00081784,          0.00081784
                  94,            0.039467,             0.09931,                   0,             0.99295,             0.98221,             0.99279,             0.70799,            0.038577,             0.11274,                   0,          0.00081586,          0.00081586,          0.00081586
                  95,             0.04148,             0.10604,                   0,             0.99591,              0.9832,              0.9946,             0.68694,            0.038701,             0.10606,                   0,          0.00081388,          0.00081388,          0.00081388
                  96,            0.042794,             0.11232,                   0,             0.99401,             0.98385,             0.99456,             0.66938,            0.040509,            0.094653,                   0,           0.0008119,           0.0008119,           0.0008119
                  97,            0.043081,             0.10393,                   0,             0.99587,             0.95212,             0.99077,             0.69139,            0.039336,            0.093502,                   0,          0.00080992,          0.00080992,          0.00080992
                  98,            0.041756,             0.10333,                   0,             0.99403,             0.98221,             0.99248,             0.71914,            0.037752,            0.091441,                   0,          0.00080794,          0.00080794,          0.00080794
                  99,            0.039582,            0.096675,                   0,             0.98827,             0.95455,             0.98345,             0.70191,            0.039265,            0.095863,                   0,          0.00080596,          0.00080596,          0.00080596
                 100,            0.040955,            0.095243,                   0,             0.99352,             0.98221,             0.99344,             0.74198,             0.03698,            0.091962,                   0,          0.00080398,          0.00080398,          0.00080398
                 101,            0.039417,            0.093838,                   0,             0.99501,             0.98581,             0.99463,             0.74244,            0.035868,            0.088478,                   0,            0.000802,            0.000802,            0.000802
                 102,             0.03914,            0.092084,                   0,             0.99092,             0.97079,             0.99238,             0.73753,            0.036609,            0.089392,                   0,          0.00080002,          0.00080002,          0.00080002
                 103,            0.040471,            0.094527,                   0,             0.98456,             0.98814,             0.99442,             0.72746,            0.037476,            0.090256,                   0,          0.00079804,          0.00079804,          0.00079804
                 104,            0.041138,             0.10222,                   0,             0.99198,             0.97782,             0.99238,             0.72935,            0.039268,            0.092208,                   0,          0.00079606,          0.00079606,          0.00079606
                 105,            0.040191,            0.098951,                   0,             0.99501,             0.98435,             0.99428,             0.70739,            0.038131,            0.089075,                   0,          0.00079408,          0.00079408,          0.00079408
                 106,            0.039987,            0.097086,                   0,             0.99801,             0.98884,              0.9949,             0.75023,            0.035084,            0.092684,                   0,           0.0007921,           0.0007921,           0.0007921
                 107,            0.038883,            0.096389,                   0,               0.997,             0.98601,             0.99494,             0.66062,            0.039864,              0.1062,                   0,          0.00079012,          0.00079012,          0.00079012
                 108,            0.042532,             0.10627,                   0,             0.99342,             0.98814,             0.99314,             0.70248,            0.040774,             0.09762,                   0,          0.00078814,          0.00078814,          0.00078814
                 109,            0.041981,            0.099128,                   0,             0.99697,             0.97465,             0.99258,             0.69568,            0.037518,            0.092605,                   0,          0.00078616,          0.00078616,          0.00078616
                 110,             0.04107,            0.097456,                   0,             0.99284,             0.97431,             0.99104,             0.72708,            0.036105,            0.086313,                   0,          0.00078418,          0.00078418,          0.00078418
                 111,            0.039541,            0.098777,                   0,             0.99498,             0.97916,             0.99235,             0.74877,            0.036207,            0.090869,                   0,           0.0007822,           0.0007822,           0.0007822
                 112,            0.038574,             0.09643,                   0,               0.992,             0.98074,             0.99191,             0.72267,            0.037371,            0.091449,                   0,          0.00078022,          0.00078022,          0.00078022
                 113,            0.039427,            0.092158,                   0,             0.99179,             0.98617,             0.99363,             0.71284,            0.036078,            0.093239,                   0,          0.00077824,          0.00077824,          0.00077824
                 114,            0.037391,            0.099741,                   0,             0.99181,             0.96937,             0.99005,             0.74308,            0.035319,            0.089805,                   0,          0.00077626,          0.00077626,          0.00077626
                 115,            0.037534,            0.094515,                   0,             0.99503,              0.9832,             0.99413,             0.72622,             0.03647,            0.091708,                   0,          0.00077428,          0.00077428,          0.00077428
                 116,            0.039118,            0.096432,                   0,             0.98813,             0.98748,             0.99442,             0.70579,            0.038574,            0.096931,                   0,           0.0007723,           0.0007723,           0.0007723
                 117,            0.041683,             0.10489,                   0,             0.99197,             0.97687,             0.99237,              0.6744,            0.039486,            0.093798,                   0,          0.00077032,          0.00077032,          0.00077032
                 118,            0.042778,            0.098566,                   0,             0.99599,             0.98292,              0.9932,             0.67535,            0.039342,            0.098534,                   0,          0.00076834,          0.00076834,          0.00076834
                 119,            0.039335,            0.097891,                   0,             0.99094,             0.98518,             0.99438,             0.70802,            0.037644,            0.096652,                   0,          0.00076636,          0.00076636,          0.00076636
                 120,            0.038899,            0.096349,                   0,             0.99201,             0.98113,             0.99242,             0.73704,            0.035856,            0.090773,                   0,          0.00076438,          0.00076438,          0.00076438
                 121,            0.037443,            0.097608,                   0,             0.99199,             0.97931,             0.99235,             0.71912,            0.036717,            0.092058,                   0,           0.0007624,           0.0007624,           0.0007624
                 122,            0.037795,            0.095833,                   0,             0.99295,             0.97358,             0.99221,             0.74609,             0.03584,            0.089392,                   0,          0.00076042,          0.00076042,          0.00076042
                 123,            0.038776,            0.097781,                   0,             0.98994,             0.97227,             0.99177,             0.73785,            0.036828,            0.087327,                   0,          0.00075844,          0.00075844,          0.00075844
                 124,             0.04046,             0.10017,                   0,             0.99503,             0.98715,             0.99464,             0.73657,            0.035259,            0.092004,                   0,          0.00075646,          0.00075646,          0.00075646
                 125,            0.038952,             0.09715,                   0,              0.9935,             0.97431,             0.99245,             0.73804,            0.035966,             0.09747,                   0,          0.00075448,          0.00075448,          0.00075448
                 126,            0.038118,            0.099973,                   0,             0.98742,             0.96739,             0.99064,             0.75543,            0.034911,            0.089626,                   0,           0.0007525,           0.0007525,           0.0007525
                 127,            0.037682,             0.09913,                   0,             0.99149,             0.98814,             0.99476,             0.74189,            0.034868,            0.088854,                   0,          0.00075052,          0.00075052,          0.00075052
                 128,            0.037687,            0.094067,                   0,             0.99576,             0.98123,             0.99281,             0.73624,            0.036089,            0.090861,                   0,          0.00074854,          0.00074854,          0.00074854
                 129,            0.037756,            0.096868,                   0,             0.98901,             0.97782,             0.99261,             0.72879,            0.037208,            0.093948,                   0,          0.00074656,          0.00074656,          0.00074656
                 130,            0.039556,            0.097014,                   0,             0.99599,             0.98246,              0.9927,             0.74003,            0.036255,            0.090832,                   0,          0.00074458,          0.00074458,          0.00074458
                 131,            0.037633,            0.094735,                   0,             0.99502,             0.98708,             0.99465,             0.75809,            0.034258,            0.086722,                   0,           0.0007426,           0.0007426,           0.0007426
                 132,            0.037654,            0.089919,                   0,             0.99601,             0.98715,             0.99465,              0.7502,             0.03433,            0.088457,                   0,          0.00074062,          0.00074062,          0.00074062
                 133,            0.038289,            0.091452,                   0,             0.99597,             0.97605,             0.99288,              0.7499,            0.035211,            0.090469,                   0,          0.00073864,          0.00073864,          0.00073864
                 134,             0.03873,            0.094294,                   0,             0.98875,              0.9832,             0.99222,             0.74802,            0.035496,            0.089609,                   0,          0.00073666,          0.00073666,          0.00073666
                 135,            0.039043,            0.094927,                   0,             0.99518,             0.98221,             0.99435,             0.73162,            0.036256,            0.089859,                   0,          0.00073468,          0.00073468,          0.00073468
                 136,            0.038882,            0.093208,                   0,             0.99599,             0.98194,             0.99434,             0.75293,            0.035659,            0.088044,                   0,           0.0007327,           0.0007327,           0.0007327
                 137,            0.039377,            0.092637,                   0,             0.99667,             0.98419,             0.99286,             0.74632,            0.035701,            0.091119,                   0,          0.00073072,          0.00073072,          0.00073072
                 138,            0.036391,             0.08864,                   0,             0.99104,              0.9838,             0.99277,              0.7472,            0.034471,            0.088975,                   0,          0.00072874,          0.00072874,          0.00072874
                 139,             0.03705,            0.090767,                   0,             0.99284,             0.98814,              0.9945,             0.74421,            0.036063,             0.09734,                   0,          0.00072676,          0.00072676,          0.00072676
                 140,             0.03892,            0.094025,                   0,             0.99518,             0.97925,             0.99378,             0.76002,            0.034648,            0.088466,                   0,          0.00072478,          0.00072478,          0.00072478
                 141,            0.037063,            0.091852,                   0,             0.99378,             0.98715,             0.99485,              0.7479,             0.03534,            0.086847,                   0,           0.0007228,           0.0007228,           0.0007228
                 142,            0.037756,            0.090869,                   0,             0.99476,             0.98617,             0.99226,             0.76023,            0.034721,            0.087794,                   0,          0.00072082,          0.00072082,          0.00072082
                 143,            0.036149,            0.088753,                   0,               0.995,              0.9832,             0.99239,             0.75585,            0.034578,            0.086271,                   0,          0.00071884,          0.00071884,          0.00071884
